event,effective_from,aato_threshold_inr_crore,notification,aato_reference_period,note
1,01-10-2020,500,Notification 61/2020-CT and 70/2020-CT,Any FY from 2017-18 onwards,First mandate
2,01-01-2021,100,Notification 88/2020-CT,Any FY from 2017-18 onwards,
3,01-04-2021,50,Notification 5/2021-CT,Any FY from 2017-18 onwards,
4,01-04-2022,20,Notification 1/2022-CT,Any FY from 2017-18 onwards,
5,01-10-2022,10,Notification 17/2022-CT,Any FY from 2017-18 onwards,
6,01-08-2023,5,Notification 10/2023-CT,Any FY from 2017-18 onwards,"Current threshold. Exempt classes (SEZ units, banks, insurers, GTA, passenger transport, cinema) continue to be excluded."
